timestamp,x,y
1746584468.092,29.3540,-9.7920
1746584468.102,29.3254,-9.7877
1746584468.112,29.2968,-9.7834
1746584468.122,29.2682,-9.7792
1746584468.132,29.2396,-9.7750
1746584468.142,29.2109,-9.7709
1746584468.152,29.1823,-9.7668
1746584468.162,29.1536,-9.7627
1746584468.172,29.1249,-9.7587
1746584468.182,29.0961,-9.7547
1746584468.192,29.0674,-9.7508
1746584468.202,29.0386,-9.7469
1746584468.212,29.0077,-9.7462
1746584468.222,28.9789,-9.7425
1746584468.232,28.9500,-9.7387
1746584468.242,28.9211,-9.7351
1746584468.252,28.8922,-9.7314
1746584468.262,28.8632,-9.7278
1746584468.272,28.8342,-9.7242
1746584468.282,28.8052,-9.7207
1746584468.292,28.7762,-9.7172
1746584468.302,28.7471,-9.7137
1746584468.312,28.7180,-9.7103
1746584468.322,28.6889,-9.7068
1746584468.332,28.6598,-9.7034
1746584468.342,28.6307,-9.7000
1746584468.352,28.6016,-9.6967
1746584468.362,28.5724,-9.6933
1746584468.372,28.5432,-9.6900
1746584468.381,28.5141,-9.6867
1746584468.392,28.4849,-9.6834
1746584468.402,28.4557,-9.6802
1746584468.411,28.4264,-9.6770
1746584468.422,28.3972,-9.6739
1746584468.432,28.3679,-9.6708
1746584468.442,28.3387,-9.6677
1746584468.452,28.3093,-9.6647
1746584468.461,28.2800,-9.6618
1746584468.472,28.2506,-9.6589
1746584468.482,28.2213,-9.6560
1746584468.492,28.1918,-9.6532
1746584468.502,28.1624,-9.6505
1746584468.511,28.1329,-9.6478
1746584468.522,28.1034,-9.6451
1746584468.531,28.0739,-9.6424
1746584468.541,28.0444,-9.6398
1746584468.552,28.0148,-9.6372
1746584468.562,27.9852,-9.6346
1746584468.572,27.9556,-9.6320
1746584468.582,27.9260,-9.6294
1746584468.592,27.8964,-9.6269
1746584468.602,27.8667,-9.6243
1746584468.611,27.8370,-9.6218
1746584468.621,27.8073,-9.6194
1746584468.631,27.7776,-9.6169
1746584468.642,27.7499,-9.6172
1746584468.652,27.7201,-9.6148
1746584468.662,27.6904,-9.6125
1746584468.671,27.6606,-9.6102
1746584468.681,27.6308,-9.6080
1746584468.691,27.6010,-9.6058
1746584468.701,27.5711,-9.6036
1746584468.711,27.5413,-9.6014
1746584468.721,27.5114,-9.5993
1746584468.731,27.4815,-9.5971
1746584468.741,27.4516,-9.5950
1746584468.752,27.4217,-9.5930
1746584468.761,27.3917,-9.5909
1746584468.771,27.3618,-9.5889
1746584468.781,27.3318,-9.5869
1746584468.791,27.3018,-9.5850
1746584468.801,27.2717,-9.5831
1746584468.811,27.2417,-9.5812
1746584468.821,27.2116,-9.5793
1746584468.831,27.1815,-9.5774
1746584468.842,27.1514,-9.5756
1746584468.852,27.1213,-9.5737
1746584468.861,27.0912,-9.5720
1746584468.871,27.0610,-9.5702
1746584468.881,27.0308,-9.5685
1746584468.891,27.0006,-9.5668
1746584468.901,26.9704,-9.5651
1746584468.911,26.9402,-9.5635
1746584468.921,26.9099,-9.5620
1746584468.932,26.8796,-9.5604
1746584468.941,26.8493,-9.5589
1746584468.951,26.8190,-9.5575
1746584468.961,26.7887,-9.5561
1746584468.971,26.7583,-9.5547
1746584468.981,26.7280,-9.5533
1746584468.991,26.6976,-9.5520
1746584469.001,26.6672,-9.5507
1746584469.012,26.6368,-9.5494
1746584469.022,26.6064,-9.5482
1746584469.031,26.5759,-9.5470
1746584469.041,26.5454,-9.5458
1746584469.051,26.5150,-9.5446
1746584469.061,26.4845,-9.5435
1746584469.071,26.4540,-9.5424
1746584469.081,26.4234,-9.5413
1746584469.091,26.3929,-9.5402
1746584469.102,26.3623,-9.5392
1746584469.112,26.3318,-9.5381
1746584469.122,26.3013,-9.5335
1746584469.131,26.2707,-9.5325
1746584469.141,26.2401,-9.5315
1746584469.151,26.2095,-9.5305
1746584469.161,26.1789,-9.5296
1746584469.171,26.1482,-9.5287
1746584469.181,26.1175,-9.5278
1746584469.192,26.0868,-9.5270
1746584469.202,26.0561,-9.5262
1746584469.211,26.0254,-9.5255
1746584469.221,25.9946,-9.5248
1746584469.231,25.9639,-9.5241
1746584469.241,25.9331,-9.5234
1746584469.251,25.9023,-9.5227
1746584469.261,25.8714,-9.5221
1746584469.271,25.8406,-9.5215
1746584469.281,25.8097,-9.5209
1746584469.292,25.7788,-9.5203
1746584469.302,25.7479,-9.5198
1746584469.311,25.7170,-9.5193
1746584469.321,25.6861,-9.5188
1746584469.331,25.6552,-9.5184
1746584469.341,25.6242,-9.5180
1746584469.351,25.5933,-9.5175
1746584469.361,25.5623,-9.5171
1746584469.371,25.5313,-9.5168
1746584469.381,25.5004,-9.5164
1746584469.391,25.4694,-9.5160
1746584469.402,25.4384,-9.5156
1746584469.411,25.4074,-9.5153
1746584469.421,25.3765,-9.5149
1746584469.431,25.3455,-9.5146
1746584469.441,25.3145,-9.5143
1746584469.451,25.2836,-9.5140
